HSC,CMP,GMP,B,Mono,MEP,EryA,NK,CD8,CD4,Gran
1700003F12Rik,0,1,0,0,0,0,1,0,0,9,65
1700003G13Rik,0,0,0,0,0,0,0,0,0,0,0
1700003G18Rik,0,0,0,0,0,0,0,0,0,0,0
1700003H04Rik,0,0,0,0,0,0,0,0,0,0,0
1700003I22Rik,0,0,0,0,0,0,0,0,0,0,0
1700003L19Rik,0,0,0,0,0,0,0,0,0,0,0
1700003M07Rik,0,0,1,0,0,0,0,0,0,0,1
1700003P14Rik,0,0,0,0,0,0,0,0,0,0,0
1700006A11Rik,0,0,0,0,0,0,0,0,0,0,0
1700006E09Rik,0,0,0,0,0,0,0,0,0,0,0
1700006F04Rik,0,0,0,0,0,0,0,0,0,0,0
1700006H21Rik,0,0,0,0,0,0,0,0,0,0,0
1700007B14Rik,1,0,0,0,0,0,0,0,0,0,0
1700007F19Rik,0,0,0,0,0,0,0,0,0,0,0
1700007G11Rik,0,0,0,0,0,2,0,0,0,0,0
1700007J10Rik,0,1,0,1,1,4,0,2,3,3,0
1700007K09Rik,0,0,0,0,0,0,1,0,0,0,0
1700007K13Rik,0,2,0,0,0,0,0,0,0,0,0
1700007L15Rik,17,60,63,6,7,81,5,7,30,12,59
1700007P06Rik,0,0,0,0,0,0,0,0,0,0,3
1700008C04Rik,0,0,1,0,0,0,0,1,0,0,6
1700008J07Rik,69,126,83,19,13,60,7,7,35,16,107
1700008K24Rik,0,0,0,0,0,0,0,0,0,0,0
1700008O03Rik,10,7,18,0,1,6,0,0,1,2,24
1700008P02Rik,0,0,0,0,0,0,0,0,0,0,0
1700009C05Rik,0,0,0,0,0,0,0,0,0,0,0
1700009J07Rik,0,0,0,0,0,0,0,0,0,0,20
1700009N14Rik,0,0,0,0,0,0,0,0,0,0,0
1700010B08Rik,0,0,0,0,0,0,0,0,0,0,0
1700010D01Rik,0,0,0,0,0,0,0,0,0,0,0
1700010I02Rik,0,0,0,0,0,0,0,0,0,0,3
1700010I14Rik,2,44,55,8,4,49,0,2,20,9,132
1700010J16Rik,0,0,0,0,0,0,0,0,0,0,0
1700010K23Rik,0,0,0,0,0,0,0,0,0,0,0
1700011B04Rik,0,0,0,0,0,0,0,1,0,0,15
1700011C11Rik,0,0,0,0,0,0,0,0,0,0,0
1700011E24Rik,0,0,0,0,0,0,0,0,0,0,2
1700011H14Rik,0,0,0,0,0,0,0,0,0,0,0
1700011I03Rik,0,0,0,0,0,0,0,1,0,0,6
1700011L22Rik,0,0,0,0,0,0,0,0,0,0,1
1700011M02Rik,0,0,0,0,0,0,0,0,0,0,0
1700012A03Rik,0,0,0,0,0,0,0,0,0,0,0
1700012B07Rik,0,0,0,0,0,6,0,0,0,4,0
1700012B09Rik,4,17,48,0,2,0,0,0,0,0,3
1700012C14Rik,0,0,0,0,0,1,0,0,0,0,1
1700012D01Rik,1,7,10,2,1,1,0,0,2,4,11
1700012D14Rik,0,3,0,1,1,4,0,1,0,3,8
1700012D16Rik,0,0,0,0,0,0,0,0,0,0,0
1700012H19Rik,0,0,0,0,0,0,0,0,0,0,0
1700012I11Rik,0,0,0,0,0,0,0,0,0,0,0
1700012L04Rik,0,2,0,0,0,3,3,0,1,1,3
1700012P22Rik,0,0,0,0,0,0,0,0,0,0,0
1700013D24Rik,0,0,0,0,0,0,0,0,0,0,0
1700013F07Rik,0,0,0,0,0,0,0,0,0,0,0
1700013G24Rik,0,0,0,0,0,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,0,0,0,0,0,0,0
1700015E13Rik,0,1,0,0,0,0,1,0,0,0,1
1700015F17Rik,2,0,0,0,0,0,0,0,1,0,0
1700015G11Rik,0,0,0,0,0,0,0,0,0,0,0
1700016C15Rik,0,0,0,0,0,0,0,0,0,0,0
1700016D06Rik,1,2,0,0,0,0,0,0,0,0,1
1700016G22Rik,0,0,1,0,0,0,0,0,0,1,0
1700016H13Rik,2,0,0,0,0,0,0,0,0,0,0
1700016K19Rik,1,0,1,0,0,0,0,0,7,1,1
1700016L04Rik,0,0,0,0,0,0,0,0,0,0,0
1700016L21Rik,0,0,0,0,0,0,0,0,0,0,0
1700016P04Rik,0,0,0,0,0,0,0,0,0,0,0
1700017B05Rik,85,363,344,27,51,573,151,6,66,72,342
1700017D01Rik,0,1,0,0,0,0,0,0,0,0,0
1700017G19Rik,0,0,0,0,0,0,0,0,0,0,0
1700017J07Rik,0,0,0,0,0,0,0,0,0,0,0
1700017L05Rik,0,0,0,0,0,0,0,0,0,0,0
1700017N19Rik,0,1,0,0,0,0,0,0,0,0,0
1700018A04Rik,0,0,0,0,0,0,0,0,0,0,0
1700018B08Rik,0,0,0,1,0,0,0,0,1,0,0
1700018B24Rik,0,0,0,0,0,0,0,0,0,0,0
1700018C11Rik,0,0,0,0,0,0,0,0,0,0,0
1700018F24Rik,0,0,0,0,0,0,0,0,0,0,0
1700018G05Rik,0,0,0,0,0,0,0,0,0,0,0
1700018L02Rik,0,6,15,0,0,4,0,2,0,0,10
1700019A02Rik,0,0,0,0,0,0,0,0,0,0,0
1700019B03Rik,0,0,1,0,0,2,0,0,0,0,1
1700019B21Rik,0,0,0,0,0,0,0,0,0,0,0
1700019C18Rik,0,0,0,0,0,0,0,0,0,0,0
1700019D03Rik,3,4,4,3,0,1,0,0,8,2,40
1700019E08Rik,0,0,0,0,0,0,0,0,0,0,0
1700019G24Rik,0,0,0,0,0,0,0,0,0,0,0
1700019M22Rik,0,0,0,0,0,0,0,0,0,0,0
1700019N19Rik,0,0,0,0,0,0,0,0,0,0,0
1700019O17Rik,0,0,0,0,0,0,0,0,0,0,0
1700020A23Rik,0,0,0,0,0,0,0,0,0,0,0
1700020D05Rik,0,1,6,1,2,5,11,1,9,4,23
1700020D14Rik,0,0,0,0,0,0,0,0,0,0,0
1700020G17Rik,0,0,0,0,0,0,0,0,0,0,0
1700020I14Rik,59,129,161,15,60,223,331,26,68,33,549
1700020L24Rik,0,1,7,0,1,1,0,0,0,0,3
1700020M21Rik,0,0,4,0,0,0,0,0,0,0,0
1700020N01Rik,0,0,0,0,0,0,0,0,0,0,0
1700020N15Rik,0,0,0,0,0,0,0,0,0,0,0
1700020N18Rik,0,0,0,0,0,0,0,0,0,0,2
1700021F05Rik,92,178,163,29,67,333,65,17,39,46,225
1700021F07Rik,0,0,0,0,0,0,0,0,0,0,0
1700021N21Rik,0,0,0,0,0,0,1,0,0,0,0
1700022A21Rik,0,0,0,0,0,0,0,0,0,0,0
1700022A22Rik,0,0,0,0,0,0,0,0,0,0,0
1700022E09Rik,0,0,0,0,0,0,0,0,0,0,0
1700022H01Rik,0,0,0,0,0,0,0,0,0,0,0
1700022H16Rik,0,0,0,0,0,0,0,0,0,0,0
1700022I11Rik,0,0,0,0,0,0,0,0,0,0,0
1700023C21Rik,0,0,0,0,0,0,0,0,0,0,0
1700023F02Rik,0,1,0,0,0,0,0,0,0,0,0
1700023F06Rik,0,0,0,0,0,0,0,0,0,0,2
1700024B18Rik,0,0,0,0,0,0,0,0,0,0,0
1700024F13Rik,10,39,33,0,0,18,0,0,0,0,3
1700024G13Rik,0,0,0,0,0,0,0,0,0,0,0
1700024I08Rik,0,0,0,0,0,0,0,0,0,0,0
1700024N05Rik,0,0,0,0,0,0,0,0,0,0,0
1700024P04Rik,0,0,0,0,0,0,0,0,0,0,0
1700024P16Rik,0,2,3,0,0,0,0,0,0,0,18
1700025B11Rik,0,0,0,0,0,0,0,0,0,0,1
1700025C18Rik,1,1,0,0,0,1,0,0,0,0,0
1700025F22Rik,0,0,0,0,0,0,0,0,0,0,0
1700025F24Rik,0,0,0,0,0,0,0,0,0,0,0
1700025G04Rik,87,582,313,2,187,28,3,170,172,87,500
1700025J12Rik,0,0,0,0,0,0,0,0,0,0,0
1700025K24Rik,0,0,0,0,0,1,0,0,0,0,0
1700025M24Rik,0,0,0,0,0,0,0,0,0,0,0
1700025N23Rik,4,1,0,0,3,1,4,0,0,0,5
1700026D11Rik,0,1,0,0,0,0,0,0,1,0,0
1700026F02Rik,0,0,0,0,0,0,0,0,0,0,0
1700026J14Rik,0,0,0,0,0,0,0,0,0,0,0
1700026L06Rik,5,12,12,2,11,0,0,10,0,0,47
1700027A15Rik,0,0,0,0,0,0,0,0,0,0,0
1700027F06Rik,0,0,0,0,0,0,0,0,0,0,0
1700027F09Rik,0,0,0,0,0,0,0,0,0,8,0
1700027H10Rik,0,0,0,0,0,0,0,0,0,0,0
1700027I24Rik,0,0,0,0,0,0,0,0,0,0,0
1700027J07Rik,0,0,0,0,0,0,1,0,0,0,0
1700028B04Rik,0,0,0,0,0,1,0,0,0,0,0
1700028D13Rik,0,0,0,0,0,0,0,0,0,0,0
1700028E10Rik,0,1,0,8,1,3,7,5,8,9,9
1700028I16Rik,0,0,0,1,0,0,0,0,0,0,0
1700028J19Rik,0,6,4,0,2,9,6,2,3,0,25
1700028K03Rik,9,2,0,2,1,1,0,0,3,1,1
1700028M03Rik,0,0,0,0,0,0,0,0,0,0,0
1700028P14Rik,0,0,0,0,0,0,0,0,0,0,0
1700028P15Rik,0,0,0,0,0,0,0,0,0,0,0
1700029B22Rik,0,0,0,0,0,0,0,0,0,0,0
1700029F12Rik,9,4,0,0,0,0,0,0,0,1,0
1700029H14Rik,0,0,0,0,0,0,0,0,0,0,0
1700029I15Rik,9,9,4,6,0,5,4,0,3,7,69
1700029J03Rik,0,0,0,0,0,0,0,0,0,0,0
1700029J07Rik,23,13,11,16,0,22,4,3,12,14,37
1700029M20Rik,0,0,0,0,0,0,1,0,0,0,0
1700029N11Rik,0,0,0,0,0,0,0,0,0,0,2
1700029P11Rik,0,0,0,0,0,0,0,0,0,0,0
1700030A11Rik,0,1,0,0,0,0,0,0,0,0,0
1700030C10Rik,10,13,13,1,0,16,1,3,14,2,35
1700030F04Rik,0,0,0,0,0,0,0,0,0,0,0
1700030F18Rik,0,0,0,0,0,0,0,0,0,0,0
1700030J22Rik,0,2,1,0,1,6,0,0,0,0,12
1700030K09Rik,67,90,97,67,15,115,2,1,18,19,103
1700030L20Rik,0,0,0,0,0,0,0,0,0,0,0
1700030M09Rik,0,0,0,0,0,0,0,0,0,0,0
1700030N03Rik,0,0,0,0,0,0,0,0,0,0,0
1700030O20Rik,0,0,0,0,0,0,0,0,0,0,0
1700031A10Rik,9,0,0,0,0,0,0,0,0,0,0
1700031F05Rik,0,0,0,0,0,0,0,0,0,0,0
1700031M16Rik,0,0,0,0,0,0,0,0,0,0,0
1700031P21Rik,0,0,0,0,0,0,0,0,0,0,1
1700034E13Rik,0,0,0,0,0,0,0,0,0,0,0
1700034G24Rik,0,0,0,0,0,0,0,0,0,0,0
1700034H15Rik,0,2,0,1,0,5,7,0,3,5,4
1700034I23Rik,0,0,1,0,0,0,0,0,0,0,0
1700034J05Rik,0,0,0,0,0,0,0,0,0,0,0
1700034K08Rik,0,0,0,0,0,0,0,0,0,0,0
1700034O15Rik,0,0,0,0,0,0,0,0,0,0,0
1700034P13Rik,0,1,0,0,0,7,1,0,1,0,0
1700036G14Rik,0,0,0,0,0,0,0,0,0,0,0
1700037C18Rik,72,64,50,23,9,85,7,4,37,4,179
1700037H04Rik,454,461,536,38,134,719,486,34,85,50,632
1700039E15Rik,0,1,3,0,0,0,0,0,0,0,0
1700039E22Rik,0,0,0,0,0,0,0,0,0,0,0
1700040L02Rik,20,15,17,0,2,3,0,2,4,6,2
1700041A01Rik,0,0,0,0,0,0,0,0,0,0,0
1700041C23Rik,0,0,0,0,0,0,0,0,0,0,0
1700041M19Rik,0,0,0,0,0,0,0,0,0,0,0
1700042G07Rik,0,0,0,0,0,0,0,0,0,0,0
1700042G15Rik,13,3,3,0,1,6,2,0,0,0,1
1700042O10Rik,0,0,0,0,0,0,0,0,0,1,0
1700044C05Rik,0,0,0,0,0,0,0,0,0,0,0
1700044K03Rik,0,0,0,0,0,0,0,0,0,0,0
1700045H11Rik,0,1,0,0,0,0,0,0,0,0,0
1700046C09Rik,0,0,0,0,0,0,0,0,0,0,0
1700047A11Rik,0,2,0,0,1,0,1,0,1,1,5
1700047E10Rik,1,1,1,0,0,0,0,0,1,1,1
1700047G03Rik,0,0,0,0,3,0,0,0,0,0,1
1700047I17Rik2,0,0,0,0,0,0,0,0,0,0,0
1700047L14Rik,0,0,0,0,0,0,0,0,0,0,0
1700047M11Rik,15,2,0,0,4,4,0,0,0,0,1010
1700048M11Rik,0,0,0,0,0,0,0,0,0,0,4
1700048O20Rik,0,20,7,18,0,28,2,1,3,3,11
1700049E15Rik,0,0,0,0,0,0,0,0,0,0,0
1700049E22Rik,0,0,0,0,0,0,0,0,0,0,0
1700049G17Rik,8,6,4,11,9,3,0,0,15,8,8
1700049L16Rik,0,0,0,0,0,0,0,0,0,0,0
1700051A21Rik,0,0,1,0,0,0,0,0,0,0,0
1700052I22Rik,0,0,0,0,0,0,0,0,0,0,0
1700052K11Rik,32,45,39,13,11,73,28,7,26,22,104
1700054A03Rik,0,0,0,0,0,0,0,0,0,0,0
1700054K19Rik,0,0,0,0,0,0,0,0,0,0,0
1700054M17Rik,0,2,0,0,0,0,0,0,0,0,0
1700055C04Rik,0,0,0,0,0,0,0,0,0,0,0
1700056E22Rik,9,36,22,8,10,9,3,3,42,12,90
1700057G04Rik,0,0,0,0,0,0,0,0,0,0,0
1700057H15Rik,1,0,0,0,0,1,0,0,0,0,0
1700057H21Rik,0,0,0,0,0,0,0,0,0,0,0
1700060C16Rik,0,0,0,0,0,0,0,0,0,0,0
1700060C20Rik,0,0,0,0,0,0,0,0,0,2,0
1700061F12Rik,0,0,0,0,0,0,0,0,0,0,0
1700061G19Rik,14,9,2,0,5,0,0,0,15,0,56
1700061I17Rik,0,0,0,0,0,0,0,0,0,0,0
1700061J23Rik,0,0,0,0,0,0,0,0,0,0,0
1700063A18Rik,0,0,0,0,0,0,0,0,0,0,0
1700063D05Rik,1,0,0,0,0,0,0,0,0,0,0
1700063O14Rik,0,0,0,0,0,0,0,0,0,0,0
1700064J06Rik,0,0,0,0,0,0,0,0,0,0,0
1700064M15Rik,0,0,0,0,0,0,0,0,0,0,10
1700065D16Rik,0,13,2,0,0,0,0,0,0,0,1
1700065I16Rik,0,0,0,0,0,0,0,0,0,0,0
1700065J11Rik,0,0,0,0,0,0,0,0,0,0,0
1700065J18Rik,0,0,0,0,0,0,0,0,0,0,0
1700065L07Rik,0,0,0,0,0,0,0,0,0,0,0
1700065O20Rik,0,0,0,0,0,0,0,0,0,0,0
1700066B17Rik,0,0,0,0,0,0,0,0,0,0,0
1700066B19Rik,12,17,11,4,0,13,1,7,24,9,15
1700066J03Rik,0,0,0,0,0,0,1,0,0,0,0
1700066M21Rik,10,36,44,14,14,42,8,8,10,18,58
1700066N21Rik,0,0,0,0,0,0,0,0,0,0,0
1700066O22Rik,0,0,0,0,0,0,0,0,0,0,0
1700067G17Rik,0,1,0,0,0,0,0,0,0,0,0
1700067K01Rik,5,7,8,3,5,8,18,0,1,0,9
1700067P10Rik,0,0,0,0,0,0,0,0,0,0,0
1700069L16Rik,0,0,0,0,0,0,0,0,0,0,0
1700069P05Rik,0,0,0,0,0,0,0,0,0,0,0
1700071K01Rik,0,0,0,1,0,0,0,0,0,0,0
1700071M16Rik,1,0,0,0,1,0,0,0,0,0,30
1700072B07Rik,0,0,0,0,0,0,0,0,0,0,0
1700072I22Rik,0,0,0,0,0,0,0,0,0,0,0
1700072O05Rik,0,0,0,0,0,0,0,0,0,0,0
1700073E17Rik,0,1,0,0,0,3,0,0,0,0,0
1700074H08Rik,0,0,0,0,0,0,0,0,0,0,0
1700074P13Rik,1,0,0,0,0,0,0,0,0,0,0
1700080E11Rik,0,0,0,0,0,0,0,0,0,0,0
1700080N15Rik,0,0,0,0,0,0,0,0,0,0,0
1700080O16Rik,0,0,0,0,0,0,0,0,0,0,0
1700081H04Rik,0,0,0,0,0,0,0,0,0,0,0
1700084D21Rik,1,0,0,0,0,1,0,0,0,0,0
1700084E18Rik,0,5,9,2,4,16,3,0,2,3,5
1700084F23Rik,0,0,0,0,0,0,0,0,0,0,0
1700084J12Rik,0,0,0,0,0,0,0,0,0,0,0
1700084M14Rik,0,0,0,0,0,0,0,0,0,0,0
1700085C21Rik,0,0,0,0,0,0,0,0,0,0,0
1700086L19Rik,0,0,0,0,0,0,0,0,0,0,0
1700086O06Rik,6,28,18,2,2,196,121,0,2,3,13
1700088E04Rik,0,0,1,0,0,0,0,0,0,0,0
1700091H14Rik,0,0,0,0,0,0,0,0,0,0,0
1700092C02Rik,0,0,0,0,0,0,0,0,0,0,0
1700092C10Rik,0,0,0,0,0,0,0,0,0,0,0
1700092E19Rik,0,0,0,0,0,0,0,0,0,0,0
1700092K14Rik,0,0,0,0,0,0,0,0,0,0,0
1700092M07Rik,0,1,4,0,1,10,3,2,0,6,12
1700093K21Rik,0,1,1,0,0,3,0,0,0,0,1
1700094D03Rik,37,63,72,47,30,90,13,15,74,49,241
1700094J05Rik,0,0,0,0,0,0,0,0,0,0,0
1700094M24Rik,0,0,0,0,0,0,0,0,0,0,0
1700095A21Rik,0,0,0,0,0,0,0,0,0,0,0
1700095B10Rik,0,0,0,0,0,0,0,0,0,0,0
1700095J12Rik,0,0,1,0,0,1,0,0,1,0,0
1700096J18Rik,0,0,1,0,0,0,0,0,0,0,0
1700096K18Rik,44,62,53,16,33,83,21,12,25,10,211
1700096P03Rik,0,0,0,0,0,0,0,0,0,0,0
1700097N02Rik,74,136,148,6,3,133,3,3,52,29,40
1700099I09Rik,5,2,0,4,1,6,0,0,0,0,12
1700100I10Rik,0,0,0,1,0,1,0,0,0,0,2
1700100L14Rik,0,0,0,0,0,0,0,0,0,0,0
1700101I11Rik,0,0,0,0,0,3,0,0,0,0,0
1700101O22Rik,0,0,0,0,0,0,0,0,0,0,0
1700102H20Rik,7,18,15,0,0,38,1,3,0,2,17
1700102P08Rik,3,1,5,5,0,4,12,0,1,10,20
1700104L18Rik,0,0,0,0,0,0,0,0,0,0,0
1700105P06Rik,16,1,0,0,0,1,0,0,0,2,4
1700108F19Rik,0,1,0,0,0,0,0,0,0,0,0
1700108J01Rik,0,0,0,0,0,0,0,0,0,0,0
1700109G14Rik,0,0,0,0,0,0,0,0,0,0,0
1700109G15Rik,0,0,0,0,0,0,0,0,0,0,0
1700109H08Rik,1,11,12,0,0,3,2,0,3,1,9
1700109I08Rik,0,0,0,0,0,0,0,0,0,0,0
1700109K24Rik,0,0,0,0,0,0,0,0,0,0,0
1700110C19Rik,0,0,0,0,0,0,0,0,0,0,0
1700110I01Rik,0,0,0,0,0,0,0,0,0,0,0
1700110I07Rik,0,0,0,0,0,1,0,0,1,1,3
1700110K17Rik,0,0,0,0,0,0,0,1,0,0,0
1700111N16Rik,0,0,0,0,0,0,0,0,0,0,0
1700112E06Rik,67,152,183,0,54,73,0,2,1,2,135
1700112H15Rik,0,0,0,0,0,0,0,0,0,0,0
1700112J05Rik,0,0,0,0,0,0,0,0,0,0,0
1700112J16Rik,8,6,1,0,1,1,0,0,0,1,2
1700113A16Rik,27,10,3,2,0,3,1,0,2,2,5
1700113B09Rik,0,0,0,0,0,0,0,0,0,0,0
1700113H08Rik,0,0,0,0,0,5,0,0,0,0,2
1700116B05Rik,0,0,0,0,0,0,0,0,0,0,0
1700119H24Rik,0,0,0,0,0,0,0,0,0,0,0
1700120C14Rik,0,11,2,0,0,4,5,0,3,1,6
1700120E14Rik,0,0,0,0,0,0,0,0,0,0,0
1700120G07Rik,1,0,0,0,0,0,0,0,0,0,0
1700120K04Rik,0,1,1,0,0,0,0,0,0,0,2
1700121L16Rik,0,0,0,0,0,0,0,0,0,0,0
1700121N20Rik,0,0,0,0,0,0,0,0,0,0,0
1700122C19Rik,0,0,0,0,0,0,0,0,0,0,0
1700122O11Rik,0,0,0,0,0,0,0,0,0,0,0
1700123I01Rik,2,0,0,2,3,0,0,0,1,0,4
1700123J17Rik,0,0,0,0,0,0,0,0,0,0,0
1700123K08Rik,0,0,0,0,0,0,0,0,0,0,0
1700123L14Rik,0,0,0,1,0,0,0,0,1,0,2
1700123M08Rik,0,9,2,0,0,2,2,1,0,2,4
1700123O12Rik,0,0,0,0,0,0,0,0,0,0,0
1700123O20Rik,102,222,254,53,77,291,132,31,105,91,649
1700123O21Rik,0,0,0,0,0,0,0,0,0,0,0
1700124L16Rik,5,7,0,0,2,10,0,0,6,2,18
1700125G02Rik,0,0,0,0,0,0,0,0,0,0,0
1700125G22Rik,0,0,0,1,0,0,2,1,1,0,0
1700125H03Rik,0,0,0,0,0,0,0,0,0,0,0
1700125H20Rik,0,0,0,0,0,0,5,0,0,0,2
1700126H18Rik,0,0,0,0,0,0,0,0,0,0,0
1700128A07Rik,0,0,0,0,0,0,0,0,0,0,0
1700128F08Rik,0,0,0,0,0,0,0,0,0,0,0
1700129C05Rik,0,0,0,0,0,0,0,0,0,0,0
1810006J02Rik,0,1,0,0,0,0,0,1,7,6,12
1810007C17Rik,0,0,0,0,0,0,0,0,0,0,0
1810007D17Rik,0,0,0,0,0,0,0,0,0,0,0
1810008I18Rik,0,0,5,0,0,0,0,0,0,0,0
1810009A15Rik,0,4,4,2,2,6,1,0,2,1,13
1810009J06Rik,0,0,0,0,0,0,0,0,0,0,0
1810010D01Rik,2,0,0,2,0,0,0,2,9,9,92
1810010H24Rik,43,2,3,8,0,9,1,2,3,6,15
1810011H11Rik,5,42,53,0,8,5,1,0,0,14,227
